147	0.707	62.4704	62.5522	62.6387	62.7241	62.8081	62.891	62.9698	63.0456	63.1194	63.191	
148	0	63.2598	63.3255	63.3879	63.447	63.5027	63.5547	63.603	63.6474	63.6881	63.7247	
149	-0.707	63.7546	63.7825	63.8155	63.8447	63.8713	63.8955	63.9098	63.9178	63.9262	63.939	
150	-1	63.9466	63.9534	63.9724	63.9883	64.0027	64.0162	64.0185	64.0149	64.0134	64.0181	
151	-0.707	64.0219	64.0245	64.0316	64.0372	64.0416	64.0455	64.0464	64.0458	64.0452	64.0451	
152	1	64.0449	64.0455	64.0493	64.0536	64.0599	64.0683	64.074	64.0797	64.0907	64.1112	
153	1	64.1334	64.16	64.201	64.2441	64.2908	64.3415	64.3854	64.4277	64.4773	64.5396	
154	1	64.6032	64.6705	64.7534	64.8372	64.923	65.0112	65.0916	65.1689	65.2502	65.339	
155	1	65.4271	65.5154	65.6108	65.7049	65.7975	65.8891	65.9756	66.0586	66.1394	66.2181	
156	-1	66.2937	66.3664	66.4381	66.506	66.5711	66.6332	66.6874	66.7361	66.7842	66.8355	
157	-1	66.8825	66.9274	66.9804	67.0291	67.0751	67.1188	67.1494	67.1722	67.1965	67.2279	
158	-1	67.255	67.2806	67.3174	67.3505	67.3812	67.4105	67.4279	67.4388	67.4511	67.4691	
159	-1	67.4845	67.4987	67.5197	67.5389	67.5565	67.5736	67.5863	67.5967	67.607	67.6174	
160	0	67.6275	67.6375	67.6477	67.6582	67.6693	67.6813	67.6944	67.7088	67.7246	67.7419	
161	0.707	67.7583	67.7784	67.8096	67.843	67.8798	67.9201	67.9565	67.9924	68.0343	68.0859	
162	1	68.1376	68.1936	68.2658	68.3395	68.4155	68.4944	68.5658	68.6345	68.7075	68.7884	
163	0.707	68.87	68.9516	69.0381	69.1234	69.2074	69.2902	69.3689	69.4446	69.5183	69.5898	
164	0	69.6585	69.7242	69.7866	69.8456	69.9012	69.9531	70.0014	70.0458	70.0864	70.123	
165	-0.707	70.1529	70.1807	70.2136	70.2428	70.2693	70.2936	70.3078	70.3158	70.3241	70.3369	
166	-1	70.3444	70.3513	70.3701	70.3861	70.4004	70.4139	70.4162	70.4126	70.411	70.4157	
167	-0.707	70.4194	70.422	70.4291	70.4347	70.439	70.443	70.4438	70.4432	70.4426	70.4424	
168	0	70.4424	70.4426	70.4433	70.4449	70.4474	70.4512	70.4564	70.4632	70.4718	70.4823	
169	0.707	70.4919	70.5057	70.5309	70.5585	70.5898	70.6249	70.6562	70.6872	70.7245	70.7718	
170	1	70.8193	70.8712	70.9397	71.0097	71.0823	71.1579	71.2262	71.2917	71.3618	71.44	
171	0.707	71.5189	71.598	71.6821	71.765	71.8467	71.9274	72.004	72.0778	72.1495	72.2192	
172	0	72.2862	72.3501	72.4109	72.4683	72.5224	72.5729	72.6197	72.6628	72.7021	72.7374	
173	-0.707	72.7661	72.7928	72.8246	72.8527	72.8782	72.9015	72.9148	72.9219	72.9294	72.9413	
174	-1	72.9481	72.9542	72.9723	72.9876	73.0012	73.0141	73.0158	73.0116	73.0094	73.0136	
175	-0.707	73.0169	73.019	73.0255	73.0307	73.0346	73.0382	73.0386	73.0376	73.0367	73.0361	
176	0	73.0357	73.0356	73.0361	73.0373	73.0396	73.0431	73.0481	73.0546	73.063	73.0732	
177	0.707	73.0827	73.0963	73.1213	73.1487	73.1798	73.2147	73.2458	73.2767	73.3138	73.361	
178	1	73.4083	73.4602	73.5285	73.5984	73.6709	73.7464	73.8145	73.88	73.9499	74.0281	
179	0.707	74.1069	74.1859	74.2699	74.3528	74.4344	74.515	74.5916	74.6652	74.7369	74.8066	
180	0	74.8735	74.9373	74.998	75.0555	75.1094	75.1599	75.2067	75.2497	75.2889	75.3243	
